"TEST SETUP"
"GENESYS 10S UV-Vis v4.006 2L9T065208"

"Scanning","17:47 10Oct16"
"Test Name","Clo"
"Measurement Mode","Absorbance"
"Start Wavelength","350.0nm"
"Stop Wavelength","700.0nm"
"Sample Positioner","Manual 6"
"Scan Speed","Fast"
"Interval","1.0nm"
"ID# (0=OFF)","1"
"Auto Save Data","On"
"Data File Name","10-10-"


"ID#",2
"Wavelength","Abs"
350.0,0.536
351.0,0.534
352.0,0.533
353.0,0.533
354.0,0.533
355.0,0.533
356.0,0.534
357.0,0.536
358.0,0.538
359.0,0.540
360.0,0.542
361.0,0.545
362.0,0.548
363.0,0.551
364.0,0.554
365.0,0.558
366.0,0.562
367.0,0.567
368.0,0.571
369.0,0.576
370.0,0.582
371.0,0.587
372.0,0.593
373.0,0.599
374.0,0.605
375.0,0.611
376.0,0.616
377.0,0.622
378.0,0.627
379.0,0.632
380.0,0.637
381.0,0.642
382.0,0.647
383.0,0.651
384.0,0.655
385.0,0.659
386.0,0.663
387.0,0.666
388.0,0.670
389.0,0.673
390.0,0.677
391.0,0.681
392.0,0.685
393.0,0.691
394.0,0.697
395.0,0.705
396.0,0.714
397.0,0.726
398.0,0.739
399.0,0.754
400.0,0.771
401.0,0.790
402.0,0.809
403.0,0.829
404.0,0.850
405.0,0.870
406.0,0.891
407.0,0.910
408.0,0.929
409.0,0.947
410.0,0.964
411.0,0.981
412.0,0.997
413.0,1.013
414.0,1.028
415.0,1.044
416.0,1.059
417.0,1.076
418.0,1.093
419.0,1.113
420.0,1.135
421.0,1.160
422.0,1.187
423.0,1.217
424.0,1.251
425.0,1.287
426.0,1.325
427.0,1.364
428.0,1.403
429.0,1.442
430.0,1.479
431.0,1.511
432.0,1.540
433.0,1.562
434.0,1.578
435.0,1.587
436.0,1.589,"Peak"
437.0,1.584
438.0,1.573
439.0,1.558
440.0,1.541
441.0,1.523
442.0,1.506
443.0,1.493
444.0,1.483
445.0,1.478
446.0,1.477
447.0,1.482
448.0,1.491
449.0,1.503
450.0,1.518
451.0,1.536
452.0,1.555
453.0,1.574
454.0,1.595
455.0,1.615
456.0,1.634
457.0,1.652
458.0,1.669
459.0,1.683
460.0,1.694
461.0,1.703
462.0,1.709
463.0,1.713
464.0,1.716
465.0,1.716,"Peak"
466.0,1.715
467.0,1.714
468.0,1.711
469.0,1.709
470.0,1.707
471.0,1.705
472.0,1.704
473.0,1.703
474.0,1.703
475.0,1.703
476.0,1.705
477.0,1.707
478.0,1.709
479.0,1.712
480.0,1.716
481.0,1.719
482.0,1.721
483.0,1.723
484.0,1.724,"Peak"
485.0,1.723
486.0,1.721
487.0,1.718
488.0,1.712
489.0,1.706
490.0,1.697
491.0,1.688
492.0,1.676
493.0,1.663
494.0,1.649
495.0,1.633
496.0,1.616
497.0,1.598
498.0,1.579
499.0,1.560
500.0,1.540
501.0,1.519
502.0,1.498
503.0,1.477
504.0,1.455
505.0,1.433
506.0,1.411
507.0,1.389
508.0,1.366
509.0,1.344
510.0,1.322
511.0,1.301
512.0,1.280
513.0,1.258
514.0,1.237
515.0,1.216
516.0,1.195
517.0,1.175
518.0,1.154
519.0,1.133
520.0,1.113
521.0,1.093
522.0,1.073
523.0,1.052
524.0,1.031
525.0,1.011
526.0,0.990
527.0,0.970
528.0,0.950
529.0,0.929
530.0,0.908
531.0,0.887
532.0,0.866
533.0,0.844
534.0,0.823
535.0,0.801
536.0,0.780
537.0,0.759
538.0,0.737
539.0,0.715
540.0,0.693
541.0,0.672
542.0,0.651
543.0,0.629
544.0,0.608
545.0,0.587
546.0,0.566
547.0,0.546
548.0,0.526
549.0,0.507
550.0,0.488
551.0,0.470
552.0,0.452
553.0,0.435
554.0,0.418
555.0,0.403
556.0,0.387
557.0,0.373
558.0,0.358
559.0,0.345
560.0,0.332
561.0,0.320
562.0,0.309
563.0,0.298
564.0,0.287
565.0,0.277
566.0,0.268
567.0,0.260
568.0,0.251
569.0,0.243
570.0,0.236
571.0,0.229
572.0,0.222
573.0,0.216
574.0,0.210
575.0,0.204
576.0,0.199
577.0,0.194
578.0,0.190
579.0,0.185
580.0,0.181
581.0,0.177
582.0,0.173
583.0,0.169
584.0,0.166
585.0,0.162
586.0,0.159
587.0,0.156
588.0,0.153
589.0,0.150
590.0,0.147
591.0,0.145
592.0,0.143
593.0,0.140
594.0,0.139
595.0,0.138
596.0,0.137
597.0,0.137
598.0,0.137
599.0,0.137
600.0,0.138
601.0,0.139
602.0,0.140
603.0,0.141
604.0,0.142
605.0,0.144
606.0,0.146
607.0,0.147
608.0,0.149
609.0,0.150
610.0,0.152
611.0,0.153
612.0,0.154
613.0,0.155
614.0,0.156
615.0,0.157
616.0,0.157
617.0,0.157
618.0,0.157
619.0,0.156
620.0,0.155
621.0,0.154
622.0,0.153
623.0,0.152
624.0,0.151
625.0,0.149
626.0,0.147
627.0,0.146
628.0,0.144
629.0,0.143
630.0,0.142
631.0,0.142
632.0,0.142
633.0,0.143
634.0,0.144
635.0,0.146
636.0,0.149
637.0,0.152
638.0,0.156
639.0,0.160
640.0,0.166
641.0,0.172
642.0,0.178
643.0,0.186
644.0,0.194
645.0,0.202
646.0,0.211
647.0,0.220
648.0,0.230
649.0,0.240
650.0,0.252
651.0,0.264
652.0,0.279
653.0,0.294
654.0,0.313
655.0,0.332
656.0,0.354
657.0,0.376
658.0,0.399
659.0,0.422
660.0,0.445
661.0,0.466
662.0,0.485
663.0,0.500
664.0,0.512
665.0,0.518
666.0,0.519,"Peak"
667.0,0.514
668.0,0.503
669.0,0.486
670.0,0.465
671.0,0.441
672.0,0.414
673.0,0.385
674.0,0.354
675.0,0.323
676.0,0.293
677.0,0.263
678.0,0.235
679.0,0.208
680.0,0.184
681.0,0.163
682.0,0.143
683.0,0.127
684.0,0.112
685.0,0.100
686.0,0.089
687.0,0.080
688.0,0.072
689.0,0.066
690.0,0.061
691.0,0.057
692.0,0.053
693.0,0.050
