"TEST SETUP"
"GENESYS 10S UV-Vis v4.006 2L9T065208"

"Scanning","16:36 18Jan17"
"Test Name","Clo"
"Measurement Mode","Absorbance"
"Start Wavelength","350.0nm"
"Stop Wavelength","700.0nm"
"Sample Positioner","Manual 6"
"Scan Speed","Fast"
"Interval","1.0nm"
"ID# (0=OFF)","1"
"Auto Save Data","On"
"Data File Name","18-01"


"ID#",2
"Wavelength","Abs"
350.0,0.432
351.0,0.430
352.0,0.428
353.0,0.427
354.0,0.426
355.0,0.425
356.0,0.424
357.0,0.423
358.0,0.422
359.0,0.420
360.0,0.420
361.0,0.419
362.0,0.418
363.0,0.417
364.0,0.416
365.0,0.416
366.0,0.415
367.0,0.415
368.0,0.414
369.0,0.414
370.0,0.414
371.0,0.413
372.0,0.413
373.0,0.413
374.0,0.412
375.0,0.412
376.0,0.411
377.0,0.411
378.0,0.411
379.0,0.411
380.0,0.412
381.0,0.412
382.0,0.412
383.0,0.413
384.0,0.413
385.0,0.414
386.0,0.415
387.0,0.416
388.0,0.417
389.0,0.419
390.0,0.420
391.0,0.422
392.0,0.423
393.0,0.425
394.0,0.427
395.0,0.429
396.0,0.431
397.0,0.433
398.0,0.436
399.0,0.438
400.0,0.441
401.0,0.444
402.0,0.446
403.0,0.449
404.0,0.453
405.0,0.456
406.0,0.460
407.0,0.464
408.0,0.468
409.0,0.472
410.0,0.477
411.0,0.482
412.0,0.487
413.0,0.492
414.0,0.497
415.0,0.502
416.0,0.508
417.0,0.513
418.0,0.518
419.0,0.523
420.0,0.527
421.0,0.532
422.0,0.536
423.0,0.541
424.0,0.545
425.0,0.549
426.0,0.553
427.0,0.557
428.0,0.561
429.0,0.566
430.0,0.570
431.0,0.575
432.0,0.580
433.0,0.585
434.0,0.590
435.0,0.595
436.0,0.601
437.0,0.607
438.0,0.613
439.0,0.619
440.0,0.624
441.0,0.630
442.0,0.635
443.0,0.640
444.0,0.645
445.0,0.649
446.0,0.653
447.0,0.656
448.0,0.659
449.0,0.662
450.0,0.663
451.0,0.665
452.0,0.666
453.0,0.667
454.0,0.667
455.0,0.668
456.0,0.668
457.0,0.668
458.0,0.669
459.0,0.669
460.0,0.669
461.0,0.670
462.0,0.671
463.0,0.671
464.0,0.673
465.0,0.674
466.0,0.675
467.0,0.676
468.0,0.678
469.0,0.679
470.0,0.680
471.0,0.680
472.0,0.680,"Peak"
473.0,0.680
474.0,0.679
475.0,0.677
476.0,0.675
477.0,0.673
478.0,0.669
479.0,0.666
480.0,0.661
481.0,0.656
482.0,0.651
483.0,0.645
484.0,0.639
485.0,0.633
486.0,0.627
487.0,0.620
488.0,0.613
489.0,0.605
490.0,0.598
491.0,0.591
492.0,0.583
493.0,0.575
494.0,0.568
495.0,0.560
496.0,0.552
497.0,0.544
498.0,0.536
499.0,0.528
500.0,0.520
501.0,0.512
502.0,0.504
503.0,0.496
504.0,0.488
505.0,0.480
506.0,0.472
507.0,0.464
508.0,0.456
509.0,0.447
510.0,0.439
511.0,0.431
512.0,0.423
513.0,0.415
514.0,0.407
515.0,0.399
516.0,0.391
517.0,0.384
518.0,0.376
519.0,0.368
520.0,0.360
521.0,0.353
522.0,0.346
523.0,0.338
524.0,0.331
525.0,0.324
526.0,0.316
527.0,0.310
528.0,0.304
529.0,0.297
530.0,0.291
531.0,0.285
532.0,0.278
533.0,0.272
534.0,0.267
535.0,0.261
536.0,0.255
537.0,0.250
538.0,0.245
539.0,0.240
540.0,0.235
541.0,0.231
542.0,0.226
543.0,0.222
544.0,0.219
545.0,0.215
546.0,0.211
547.0,0.208
548.0,0.204
549.0,0.201
550.0,0.198
551.0,0.196
552.0,0.193
553.0,0.190
554.0,0.188
555.0,0.185
556.0,0.183
557.0,0.181
558.0,0.179
559.0,0.177
560.0,0.175
561.0,0.173
562.0,0.171
563.0,0.170
564.0,0.168
565.0,0.166
566.0,0.165
567.0,0.163
568.0,0.161
569.0,0.160
570.0,0.159
571.0,0.157
572.0,0.156
573.0,0.155
574.0,0.154
575.0,0.153
576.0,0.153
577.0,0.152
578.0,0.151
579.0,0.150
580.0,0.150
581.0,0.148
582.0,0.147
583.0,0.147
584.0,0.146
585.0,0.146
586.0,0.145
587.0,0.144
588.0,0.143
589.0,0.143
590.0,0.142
591.0,0.141
592.0,0.141
593.0,0.140
594.0,0.140
595.0,0.139
596.0,0.139
597.0,0.138
598.0,0.138
599.0,0.138
600.0,0.137
601.0,0.136
602.0,0.135
603.0,0.135
604.0,0.134
605.0,0.133
606.0,0.132
607.0,0.132
608.0,0.132
609.0,0.132
610.0,0.131
611.0,0.131
612.0,0.131
613.0,0.130
614.0,0.130
615.0,0.130
616.0,0.129
617.0,0.129
618.0,0.129
619.0,0.129
620.0,0.128
621.0,0.128
622.0,0.128
623.0,0.128
624.0,0.127
625.0,0.126
626.0,0.126
627.0,0.125
628.0,0.125
629.0,0.125
630.0,0.125
631.0,0.125
632.0,0.125,"Peak"
633.0,0.125
634.0,0.124
635.0,0.124
636.0,0.124
637.0,0.124
638.0,0.124
639.0,0.123
640.0,0.124
641.0,0.124,"Peak"
642.0,0.123
643.0,0.124,"Peak"
644.0,0.124
645.0,0.123
646.0,0.123
647.0,0.123
648.0,0.122
649.0,0.122
650.0,0.121
651.0,0.120
652.0,0.119
653.0,0.119
654.0,0.119
655.0,0.118
656.0,0.119
657.0,0.118
658.0,0.118
659.0,0.117
660.0,0.116
661.0,0.115
662.0,0.115
663.0,0.114
664.0,0.114
665.0,0.113
666.0,0.113
667.0,0.112
668.0,0.112
669.0,0.111
670.0,0.111
671.0,0.110
672.0,0.109
673.0,0.108
674.0,0.108
675.0,0.108
676.0,0.108
677.0,0.108
678.0,0.109
679.0,0.108
680.0,0.107
681.0,0.106
682.0,0.105
683.0,0.105
684.0,0.104
685.0,0.104
686.0,0.104
687.0,0.105
688.0,0.105
689.0,0.105
690.0,0.105
691.0,0.106
692.0,0.105
693.0,0.105
