"TEST SETUP"
"GENESYS 10S UV-Vis v4.006 2L9T065208"

"Scanning","17:44 10Oct16"
"Test Name","Clo"
"Measurement Mode","Absorbance"
"Start Wavelength","350.0nm"
"Stop Wavelength","700.0nm"
"Sample Positioner","Manual 6"
"Scan Speed","Fast"
"Interval","1.0nm"
"ID# (0=OFF)","1"
"Auto Save Data","On"
"Data File Name","10-10-"


"ID#",1
"Wavelength","Abs"
350.0,0.444
351.0,0.443
352.0,0.442
353.0,0.442
354.0,0.443
355.0,0.444
356.0,0.445
357.0,0.446
358.0,0.448
359.0,0.450
360.0,0.453
361.0,0.455
362.0,0.458
363.0,0.461
364.0,0.464
365.0,0.468
366.0,0.472
367.0,0.476
368.0,0.480
369.0,0.485
370.0,0.489
371.0,0.494
372.0,0.499
373.0,0.505
374.0,0.510
375.0,0.516
376.0,0.521
377.0,0.526
378.0,0.531
379.0,0.536
380.0,0.541
381.0,0.545
382.0,0.549
383.0,0.553
384.0,0.557
385.0,0.561
386.0,0.564
387.0,0.567
388.0,0.570
389.0,0.573
390.0,0.577
391.0,0.580
392.0,0.584
393.0,0.589
394.0,0.595
395.0,0.602
396.0,0.611
397.0,0.621
398.0,0.632
399.0,0.645
400.0,0.660
401.0,0.677
402.0,0.694
403.0,0.711
404.0,0.729
405.0,0.747
406.0,0.764
407.0,0.781
408.0,0.797
409.0,0.812
410.0,0.827
411.0,0.841
412.0,0.854
413.0,0.867
414.0,0.880
415.0,0.892
416.0,0.905
417.0,0.919
418.0,0.933
419.0,0.950
420.0,0.968
421.0,0.989
422.0,1.012
423.0,1.038
424.0,1.067
425.0,1.098
426.0,1.131
427.0,1.164
428.0,1.198
429.0,1.231
430.0,1.263
431.0,1.290
432.0,1.314
433.0,1.332
434.0,1.345
435.0,1.351,"Peak"
436.0,1.350
437.0,1.344
438.0,1.332
439.0,1.316
440.0,1.299
441.0,1.280
442.0,1.263
443.0,1.249
444.0,1.237
445.0,1.231
446.0,1.228
447.0,1.229
448.0,1.235
449.0,1.243
450.0,1.254
451.0,1.267
452.0,1.281
453.0,1.295
454.0,1.311
455.0,1.325
456.0,1.340
457.0,1.353
458.0,1.365
459.0,1.375
460.0,1.382
461.0,1.388
462.0,1.392
463.0,1.394
464.0,1.394,"Peak"
465.0,1.394,"Peak"
466.0,1.392
467.0,1.389
468.0,1.386
469.0,1.382
470.0,1.379
471.0,1.377
472.0,1.375
473.0,1.374
474.0,1.373
475.0,1.374
476.0,1.375
477.0,1.377
478.0,1.380
479.0,1.383
480.0,1.387
481.0,1.390
482.0,1.393
483.0,1.395
484.0,1.397
485.0,1.397,"Peak"
486.0,1.396
487.0,1.394
488.0,1.389
489.0,1.384
490.0,1.377
491.0,1.368
492.0,1.358
493.0,1.346
494.0,1.333
495.0,1.319
496.0,1.304
497.0,1.287
498.0,1.270
499.0,1.253
500.0,1.235
501.0,1.216
502.0,1.197
503.0,1.178
504.0,1.158
505.0,1.139
506.0,1.119
507.0,1.099
508.0,1.080
509.0,1.060
510.0,1.041
511.0,1.023
512.0,1.005
513.0,0.987
514.0,0.969
515.0,0.951
516.0,0.934
517.0,0.917
518.0,0.900
519.0,0.884
520.0,0.867
521.0,0.851
522.0,0.834
523.0,0.818
524.0,0.802
525.0,0.785
526.0,0.769
527.0,0.753
528.0,0.738
529.0,0.721
530.0,0.705
531.0,0.689
532.0,0.673
533.0,0.656
534.0,0.639
535.0,0.623
536.0,0.607
537.0,0.590
538.0,0.574
539.0,0.557
540.0,0.540
541.0,0.524
542.0,0.508
543.0,0.492
544.0,0.476
545.0,0.460
546.0,0.444
547.0,0.429
548.0,0.414
549.0,0.399
550.0,0.385
551.0,0.372
552.0,0.359
553.0,0.346
554.0,0.334
555.0,0.322
556.0,0.311
557.0,0.300
558.0,0.289
559.0,0.279
560.0,0.270
561.0,0.261
562.0,0.252
563.0,0.244
564.0,0.237
565.0,0.230
566.0,0.223
567.0,0.217
568.0,0.211
569.0,0.206
570.0,0.200
571.0,0.195
572.0,0.191
573.0,0.186
574.0,0.182
575.0,0.178
576.0,0.174
577.0,0.171
578.0,0.168
579.0,0.165
580.0,0.162
581.0,0.159
582.0,0.156
583.0,0.154
584.0,0.151
585.0,0.148
586.0,0.146
587.0,0.143
588.0,0.141
589.0,0.139
590.0,0.137
591.0,0.135
592.0,0.133
593.0,0.132
594.0,0.131
595.0,0.130
596.0,0.129
597.0,0.129
598.0,0.130
599.0,0.130
600.0,0.131
601.0,0.132
602.0,0.134
603.0,0.135
604.0,0.136
605.0,0.138
606.0,0.139
607.0,0.141
608.0,0.143
609.0,0.144
610.0,0.146
611.0,0.147
612.0,0.148
613.0,0.149
614.0,0.150
615.0,0.151
616.0,0.151
617.0,0.151
618.0,0.151
619.0,0.151
620.0,0.150
621.0,0.149
622.0,0.148
623.0,0.147
624.0,0.146
625.0,0.144
626.0,0.143
627.0,0.142
628.0,0.140
629.0,0.139
630.0,0.138
631.0,0.137
632.0,0.137
633.0,0.137
634.0,0.138
635.0,0.139
636.0,0.141
637.0,0.143
638.0,0.146
639.0,0.150
640.0,0.154
641.0,0.159
642.0,0.164
643.0,0.170
644.0,0.176
645.0,0.183
646.0,0.190
647.0,0.198
648.0,0.207
649.0,0.216
650.0,0.226
651.0,0.237
652.0,0.250
653.0,0.264
654.0,0.281
655.0,0.299
656.0,0.318
657.0,0.339
658.0,0.360
659.0,0.381
660.0,0.402
661.0,0.422
662.0,0.439
663.0,0.453
664.0,0.465
665.0,0.471
666.0,0.472
667.0,0.468
668.0,0.459
669.0,0.444
670.0,0.426
671.0,0.405
672.0,0.381
673.0,0.356
674.0,0.329
675.0,0.302
676.0,0.275
677.0,0.248
678.0,0.223
679.0,0.199
680.0,0.178
681.0,0.159
682.0,0.142
683.0,0.127
684.0,0.114
685.0,0.103
686.0,0.093
687.0,0.085
688.0,0.078
689.0,0.073
690.0,0.068
691.0,0.064
692.0,0.061
693.0,0.058
